,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,snow,rain,message
0,"{'lon': -68.3, 'lat': -54.8}","[{'id': 301, 'main': 'Drizzle', 'description': 'drizzle', 'icon': '09d'}]",stations,"{'temp': 279.15, 'feels_like': 270.81, 'temp_min': 279.15, 'temp_max': 279.15, 'pressure': 998, 'humidity': 93}",10000.0,"{'speed': 10.3, 'deg': 230}",{'all': 75},1586710779.0,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1586690344, 'sunset': 1586728089}",-10800.0,3833367.0,Ushuaia,200,,,
1,"{'lon': -46.05, 'lat': 60.92}","[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",stations,"{'temp': 280.15, 'feels_like': 271.03, 'temp_min': 280.15, 'temp_max': 280.15, 'pressure': 1001, 'humidity': 42}",,"{'speed': 9.3, 'deg': 70}",{'all': 98},1586710780.0,"{'type': 1, 'id': 47, 'country': 'GL', 'sunrise': 1586677919, 'sunset': 1586729836}",-7200.0,3421719.0,Narsaq,200,,,
2,"{'lon': 19.23, 'lat': -34.42}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 289.82, 'feels_like': 289.19, 'temp_min': 289.82, 'temp_max': 289.82, 'pressure': 1012, 'humidity': 74}",,"{'speed': 1.79, 'deg': 281, 'gust': 3.58}",{'all': 29},1586710591.0,"{'type': 3, 'id': 2006131, 'country': 'ZA', 'sunrise': 1586667835, 'sunset': 1586708592}",7200.0,3366880.0,Hermanus,200,,,
3,"{'lon': -70.92, 'lat': -53.15}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 283.92, 'feels_like': 275.38, 'temp_min': 283.71, 'temp_max': 284.15, 'pressure': 1003, 'humidity': 71}",10000.0,"{'speed': 10.8, 'deg': 280, 'gust': 15.9}",{'all': 40},1586710486.0,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1586690805, 'sunset': 1586728886}",-10800.0,3874787.0,Punta Arenas,200,,,
4,"{'lon': -92.27, 'lat': 15.77}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 306.1, 'feels_like': 306.66, 'temp_min': 306.1, 'temp_max': 306.1, 'pressure': 1012, 'humidity': 34, 'sea_level': 1012, 'grnd_level': 950}",,"{'speed': 1.5, 'deg': 279}",{'all': 93},1586711026.0,"{'country': 'MX', 'sunrise': 1586692547, 'sunset': 1586737390}",-18000.0,3530935.0,Chicomuselo,200,,,
5,"{'lon': 128.87, 'lat': 71.69}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 262.36, 'feels_like': 255.96, 'temp_min': 262.36, 'temp_max': 262.36, 'pressure': 1008, 'humidity': 94, 'sea_level': 1008, 'grnd_level': 1003}",,"{'speed': 4.62, 'deg': 189}",{'all': 82},1586710559.0,"{'country': 'RU', 'sunrise': 1586719010, 'sunset': 1586777569}",32400.0,2015306.0,Tiksi,200,{'3h': 0.18},,
6,"{'lon': 25.57, 'lat': -33.92}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 291.15, 'feels_like': 283.87, 'temp_min': 291.15, 'temp_max': 291.15, 'pressure': 1014, 'humidity': 63}",10000.0,"{'speed': 10.8, 'deg': 240}",{'all': 12},1586710806.0,"{'type': 1, 'id': 1973, 'country': 'ZA', 'sunrise': 1586666286, 'sunset': 1586707098}",7200.0,964420.0,Port Elizabeth,200,,,
7,"{'lon': -84.53, 'lat': 39.18}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 289.44, 'feels_like': 284.94, 'temp_min': 287.59, 'temp_max': 291.15, 'pressure': 1012, 'humidity': 63}",16093.0,"{'speed': 6.2, 'deg': 180}",{'all': 90},1586710620.0,"{'type': 1, 'id': 4776, 'country': 'US', 'sunrise': 1586689482, 'sunset': 1586736741}",-14400.0,4513583.0,Hamilton,200,,,
8,"{'lon': 27.91, 'lat': -33.02}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 293.71, 'feels_like': 287.91, 'temp_min': 293.71, 'temp_max': 293.71, 'pressure': 1015, 'humidity': 64, 'sea_level': 1015, 'grnd_level': 1011}",,"{'speed': 9.86, 'deg': 243}",{'all': 99},1586710627.0,"{'country': 'ZA', 'sunrise': 1586665679, 'sunset': 1586706583}",7200.0,1006984.0,East London,200,,,
9,"{'lon': 72.89, 'lat': 2.67}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 302.23, 'feels_like': 305.9, 'temp_min': 302.23, 'temp_max': 302.23, 'pressure': 1011, 'humidity': 67, 'sea_level': 1011, 'grnd_level': 1011}",,"{'speed': 1.71, 'deg': 24}",{'all': 42},1586711027.0,"{'country': 'MV', 'sunrise': 1586653436, 'sunset': 1586697238}",18000.0,1337607.0,Kudahuvadhoo,200,,{'3h': 0.19},
10,"{'lon': 147.33, 'lat': -42.88}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 280.88, 'feels_like': 278.6, 'temp_min': 279.82, 'temp_max': 281.48, 'pressure': 1016, 'humidity': 93}",10000.0,"{'speed': 2.16, 'deg': 253}",{'all': 48},1586710501.0,"{'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1586724027, 'sunset': 1586763693}",36000.0,2163355.0,Hobart,200,,,
11,"{'lon': -133.04, 'lat': 69.45}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 263.15, 'feels_like': 257.43, 'temp_min': 263.15, 'temp_max': 263.15, 'pressure': 1021, 'humidity': 85}",24140.0,"{'speed': 3.6, 'deg': 290}",{'all': 75},1586710796.0,"{'type': 1, 'id': 942, 'country': 'CA', 'sunrise': 1586696523, 'sunset': 1586752980}",-21600.0,6170031.0,Tuktoyaktuk,200,,,
12,"{'lon': 20.04, 'lat': -34.53}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 290.54, 'feels_like': 284.64, 'temp_min': 289.82, 'temp_max': 291.15, 'pressure': 1015, 'humidity': 48}",,"{'speed': 7.2, 'deg': 290}",{'all': 5},1586710773.0,"{'type': 1, 'id': 1966, 'country': 'ZA', 'sunrise': 1586667646, 'sunset': 1586708392}",7200.0,1015776.0,Bredasdorp,200,,,
13,"{'lon': -73.41, 'lat': 41.37}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 287.85, 'feels_like': 282.56, 'temp_min': 286.15, 'temp_max': 289.26, 'pressure': 1022, 'humidity': 35}",16093.0,"{'speed': 4.6, 'deg': 180, 'gust': 10.3}",{'all': 1},1586710600.0,"{'type': 1, 'id': 3888, 'country': 'US', 'sunrise': 1586686663, 'sunset': 1586734223}",-14400.0,5282297.0,Bethel,200,,,
14,"{'lon': 24.66, 'lat': 71}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,"{'temp': 271.68, 'feels_like': 263.99, 'temp_min': 270.15, 'temp_max': 273.15, 'pressure': 999, 'humidity': 94}",10000.0,"{'speed': 7.7, 'deg': 120}",{'all': 75},1586711027.0,"{'type': 1, 'id': 1638, 'country': 'NO', 'sunrise': 1586658174, 'sunset': 1586715647}",7200.0,779622.0,Havøysund,200,,,
15,"{'lon': -56.49, 'lat': -2.1}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 302.08, 'feels_like': 307.69, 'temp_min': 302.08, 'temp_max': 302.08, 'pressure': 1009, 'humidity': 81, 'sea_level': 1009, 'grnd_level': 1007}",,"{'speed': 1.45, 'deg': 49}",{'all': 90},1586711027.0,"{'country': 'BR', 'sunrise': 1586684660, 'sunset': 1586728106}",-10800.0,3386467.0,Terra Santa,200,,{'3h': 5.46},
16,"{'lon': 168.86, 'lat': -46.19}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,"{'temp': 280.93, 'feels_like': 278.19, 'temp_min': 280.93, 'temp_max': 280.93, 'pressure': 983, 'humidity': 90}",,"{'speed': 2.68, 'deg': 269, 'gust': 6.26}",{'all': 100},1586710779.0,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1586719091, 'sunset': 1586758296}",43200.0,6201424.0,Mataura,200,,{'3h': 3.55},
17,"{'lon': 172.79, 'lat': 3.07}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 301.47, 'feels_like': 302.88, 'temp_min': 301.47, 'temp_max': 301.47, 'pressure': 1011, 'humidity': 78, 'sea_level': 1011, 'grnd_level': 1010}",,"{'speed': 6.39, 'deg': 81}",{'all': 100},1586710792.0,"{'country': 'KI', 'sunrise': 1586715831, 'sunset': 1586759670}",43200.0,2110227.0,Butaritari,200,,,
18,"{'lon': -68.51, 'lat': 63.75}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,"{'temp': 269.98, 'feels_like': 265.42, 'temp_min': 269.82, 'temp_max': 270.15, 'pressure': 984, 'humidity': 79}",9656.0,"{'speed': 2.6, 'deg': 50}",{'all': 90},1586710830.0,"{'type': 1, 'id': 797, 'country': 'CA', 'sunrise': 1586682729, 'sunset': 1586735805}",-14400.0,5983720.0,Iqaluit,200,,,
19,"{'lon': 72.97, 'lat': 3.78}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 302.45, 'feels_like': 305.84, 'temp_min': 302.45, 'temp_max': 302.45, 'pressure': 1011, 'humidity': 67, 'sea_level': 1011, 'grnd_level': 1011}",,"{'speed': 2.28, 'deg': 76}",{'all': 11},1586710821.0,"{'country': 'MV', 'sunrise': 1586653376, 'sunset': 1586697260}",18000.0,1337605.0,Mahibadhoo,200,,{'3h': 0.12},
20,"{'lon': -139.03, 'lat': -9.8}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 300.74, 'feels_like': 303.95, 'temp_min': 300.74, 'temp_max': 300.74, 'pressure': 1016, 'humidity': 71, 'sea_level': 1016, 'grnd_level': 1013}",,"{'speed': 2.02, 'deg': 26}",{'all': 5},1586710783.0,"{'country': 'PF', 'sunrise': 1586704760, 'sunset': 1586747618}",-34200.0,4020109.0,Atuona,200,,,
21,"{'lon': 147.18, 'lat': -9.44}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 298, 'feels_like': 299.5, 'temp_min': 298, 'temp_max': 298, 'pressure': 1010, 'humidity': 83, 'sea_level': 1010, 'grnd_level': 1000}",,"{'speed': 4.39, 'deg': 120}",{'all': 49},1586711028.0,"{'country': 'PG', 'sunrise': 1586722456, 'sunset': 1586765335}",36000.0,2088122.0,Port Moresby,200,,,
22,"{'lon': -159.78, 'lat': -21.21}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 298.15, 'feels_like': 303.52, 'temp_min': 298.15, 'temp_max': 298.15, 'pressure': 1015, 'humidity': 100}",10000.0,"{'speed': 1.5, 'deg': 80}",{'all': 100},1586710790.0,"{'type': 1, 'id': 7271, 'country': 'CK', 'sunrise': 1586710198, 'sunset': 1586752138}",-36000.0,4035715.0,Avarua,200,,{'3h': 9.37},
23,"{'lon': 135.87, 'lat': -34.73}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 287.53, 'feels_like': 284.6, 'temp_min': 287.53, 'temp_max': 287.53, 'pressure': 1018, 'humidity': 71, 'sea_level': 1018, 'grnd_level': 1015}",,"{'speed': 3.95, 'deg': 50}",{'all': 10},1586710798.0,"{'country': 'AU', 'sunrise': 1586726289, 'sunset': 1586766930}",34200.0,2063036.0,Port Lincoln,200,,,
24,"{'lon': 21.87, 'lat': -23.97}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 298.42, 'feels_like': 295.78, 'temp_min': 298.42, 'temp_max': 298.42, 'pressure': 1013, 'humidity': 26, 'sea_level': 1013, 'grnd_level': 891}",,"{'speed': 1.99, 'deg': 11}",{'all': 45},1586711028.0,"{'country': 'BW', 'sunrise': 1586666709, 'sunset': 1586708451}",7200.0,933548.0,Lehututu,200,,,
25,"{'lon': 13.07, 'lat': 52.4}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 295.62, 'feels_like': 290.82, 'temp_min': 294.82, 'temp_max': 296.48, 'pressure': 1011, 'humidity': 27}",10000.0,"{'speed': 4.6, 'deg': 260}",{'all': 7},1586710879.0,"{'type': 1, 'id': 1275, 'country': 'DE', 'sunrise': 1586664958, 'sunset': 1586714425}",7200.0,2852458.0,Potsdam,200,,,
